City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,14.08,76,90,2.57,ZA,1689988001
1,uturoa,-16.7333,-151.4333,24.31,62,16,5.61,PF,1689988001
2,dunedin,-45.8742,170.5036,8.78,60,6,2.24,NZ,1689988002
3,ketchikan,55.3422,-131.6461,18.26,88,75,3.6,US,1689987771
4,kailua-kona,19.6406,-155.9956,31.44,81,40,5.66,US,1689988002
5,vorgashor,67.5833,63.95,16.99,89,100,3.14,RU,1689988003
6,aasiaat,68.7098,-52.8699,3.44,96,100,2.84,GL,1689987798
7,adamstown,-25.066,-130.1015,21.2,73,15,13.8,PN,1689988003
8,iqaluit,63.7506,-68.5145,6.5,87,75,1.34,CA,1689988004
9,seven pagodas,12.6264,80.1722,30.03,59,100,7.1,IN,1689988004
10,puerto natales,-51.7236,-72.4875,-3.1,96,100,1.51,CL,1689988004
11,saipan,15.1355,145.701,31.39,100,75,6.69,MP,1689988005
12,bilibino,68.0546,166.4372,25.28,35,32,1.44,RU,1689988005
13,bireun,5.203,96.7009,27.1,69,42,1.44,ID,1689988005
14,emerald,-23.5333,148.1667,20.96,37,3,7.43,AU,1689988006
15,lebu,-37.6167,-73.65,10.64,86,100,5.63,CL,1689988006
16,bredasdorp,-34.5322,20.0403,7.14,73,100,2.06,ZA,1689988006
17,guankou,28.15,113.6333,29.27,82,100,1.28,CN,1689988007
18,banjarmasin,-3.3244,114.591,26.62,78,88,1.79,ID,1689987903
19,joshimath,30.5667,79.5667,22.07,95,87,0.93,IN,1689988007
20,gamba,-2.65,10.0,20.91,87,2,1.95,GA,1689988008
21,launceston,-41.45,147.1667,9.08,87,75,0.0,AU,1689987861
22,muli,2.9167,73.5667,27.5,73,100,2.17,MV,1689988008
23,bandol,43.1371,5.7316,25.93,66,21,4.62,FR,1689988009
24,puerto quijarro,-17.7833,-57.7667,22.44,35,0,0.97,BO,1689988009
25,ribeira grande,38.5167,-28.7,20.43,92,9,1.34,PT,1689988009
26,edinburgh of the seven seas,-37.0676,-12.3116,12.16,75,100,8.56,SH,1689988010
27,kingston,17.997,-76.7936,30.53,77,20,10.29,JM,1689987605
28,ilulissat,69.2167,-51.1,6.01,93,100,0.0,GL,1689988010
29,ohara,35.25,140.3833,27.92,72,8,4.77,JP,1689988011
30,mount gambier,-37.8333,140.7667,12.91,69,12,4.04,AU,1689988011
31,puerto ayora,-0.7393,-90.3518,24.67,83,75,4.28,EC,1689988011
32,labasa,-16.4167,179.3833,27.18,70,78,1.58,FJ,1689988012
33,al jawf,29.5,38.75,26.96,26,0,4.98,SA,1689988012
34,east london,-33.0153,27.9116,20.35,46,92,8.53,ZA,1689988012
35,grytviken,-54.2811,-36.5092,2.41,93,100,7.19,GS,1689988012
36,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,64,0,3.0,RU,1689988013
37,caleta de carquin,-11.0925,-77.6267,19.92,81,5,5.12,PE,1689988013
38,port augusta,-32.5,137.7667,13.86,56,0,3.84,AU,1689987755
39,port-aux-francais,-49.35,70.2167,1.15,69,100,11.12,TF,1689988014
40,pokotylivka,49.9153,36.1772,15.48,70,38,1.7,UA,1689988014
41,oriximina,-1.7656,-55.8661,26.79,63,42,1.26,BR,1689988015
42,kyzyl-suu,42.3414,78.0056,17.56,65,0,0.69,KG,1689988015
43,micheweni,-4.9667,39.8333,24.92,79,0,6.04,TZ,1689988015
44,tura,25.5198,90.2201,25.53,91,100,1.3,IN,1689988015
45,pearsall,28.8922,-99.095,38.66,19,0,3.72,US,1689988016
46,bethel,41.3712,-73.414,24.93,81,0,2.06,US,1689988016
47,carlsbad,33.1581,-117.3506,34.68,67,0,3.6,US,1689987999
48,tual,-5.6667,132.75,26.4,78,23,8.67,ID,1689988017
49,touros,-5.1989,-35.4608,23.8,77,0,6.32,BR,1689988017
50,georgetown,5.4112,100.3354,27.19,91,20,2.06,MY,1689987828
51,wailua homesteads,22.0669,-159.378,30.44,71,75,7.2,US,1689988018
52,bogorodskoye,56.55,37.8833,11.97,78,45,3.33,RU,1689988018
53,jamestown,42.097,-79.2353,20.77,88,20,4.63,US,1689987813
54,balqash,46.8481,74.995,24.33,42,0,5.73,KZ,1689988019
55,adrar,20.5022,-10.0711,33.85,26,7,7.96,MR,1689988019
56,ushuaia,-54.8,-68.3,-8.33,87,21,2.31,AR,1689988020
57,guerrero negro,27.9769,-114.0611,21.92,70,14,7.96,MX,1689988020
58,brezina,33.0989,1.2608,31.25,15,23,1.65,DZ,1689988020
59,bechar,31.6167,-2.2167,31.35,13,0,0.17,DZ,1689988021
60,ruteng,-8.6136,120.4721,18.83,72,42,1.64,ID,1689988021
61,avarua,-21.2078,-159.775,24.03,64,40,8.75,CK,1689988022
62,cole harbour,44.6724,-63.4751,21.57,97,75,2.24,CA,1689988022
63,isagarh,24.8333,77.8833,27.99,71,12,3.34,IN,1689988022
64,aldan,58.6031,125.3894,17.06,75,100,2.12,RU,1689988023
65,contamana,-7.3333,-75.0167,26.96,63,100,0.14,PE,1689988023
66,aras-asan,8.8908,126.3033,26.49,86,100,2.52,PH,1689988024
67,klyuchi,52.2667,79.1667,20.07,70,50,5.74,RU,1689988024
68,talnakh,69.4865,88.3972,20.67,69,89,2.48,RU,1689988024
69,obo,5.3998,26.4869,20.28,95,97,1.01,CF,1689988025
70,hamilton,39.1834,-84.5333,23.47,69,75,3.6,US,1689988025
71,san antonio de pale,-1.4014,5.6325,23.27,73,86,5.35,GQ,1689988025
72,ishigaki,24.3448,124.1572,29.15,76,100,4.57,JP,1689988026
73,nagqu,31.5,92.0,6.92,61,95,1.75,CN,1689988026
74,hadibu,12.65,54.0333,25.6,82,85,11.55,YE,1689987746
75,longyearbyen,78.2186,15.6401,6.91,81,100,4.63,SJ,1689988027
76,afaahiti,-17.75,-149.2833,25.93,62,14,4.09,PF,1689988028
77,san cristobal,7.7669,-72.225,25.1,98,100,2.14,VE,1689988028
78,ataq,14.5377,46.8319,26.83,59,100,3.78,YE,1689987746
79,thompson,55.7435,-97.8558,20.23,81,60,1.7,CA,1689988029
80,kerikeri,-35.2268,173.9474,16.62,74,99,1.34,NZ,1689988029
81,waitangi,-43.9535,-176.5597,12.12,93,100,2.68,NZ,1689988029
82,mantua,45.1667,10.7833,22.27,88,7,2.68,IT,1689988030
83,al kharijah,25.4514,30.5464,29.8,16,0,4.07,EG,1689988030
84,chonchi,-42.6128,-73.8092,7.84,97,100,0.87,CL,1689988031
85,vilyuchinsk,52.9306,158.4028,22.15,72,100,3.89,RU,1689988031
86,bandon,51.7469,-8.7425,13.77,97,100,6.86,IE,1689988031
87,luganville,-15.5333,167.1667,23.29,90,100,2.93,VU,1689988031
88,stanley,54.868,-1.6985,11.55,91,100,1.76,GB,1689988032
89,blackmans bay,-43.0167,147.3167,12.61,76,100,3.25,AU,1689988032
90,puerto aysen,-45.4,-72.7,4.74,99,100,2.28,CL,1689988032
91,qaqortoq,60.7167,-46.0333,6.18,97,29,0.54,GL,1689988033
92,kili,5.6439,169.1211,25.24,89,100,0.51,MH,1689988033
93,siuna,13.7332,-84.7773,24.21,97,100,1.59,NI,1689988033
94,port lincoln,-34.7333,135.8667,12.5,81,100,5.97,AU,1689988034
95,west island,-12.1568,96.8225,23.99,88,75,6.69,CC,1689988034
96,isafjordur,66.0755,-23.124,10.45,73,100,0.93,IS,1689988034
97,yellowknife,62.456,-114.3525,25.31,29,22,4.92,CA,1689988035
98,nemuro,43.3236,145.575,16.84,88,16,5.71,JP,1689988035
99,okhotsk,59.3833,143.3,14.34,91,100,2.1,RU,1689988036
100,jiayuguan,39.8167,98.3,26.36,15,0,0.52,CN,1689987912
101,jinchang,38.4953,102.1739,25.78,24,0,2.27,CN,1689988036
102,enewetak,11.3474,162.3373,28.63,77,25,6.9,MH,1689988037
103,senanga,-16.1167,23.2667,15.54,66,5,2.92,ZM,1689987763
104,cadale,2.7603,46.3222,24.7,87,71,7.76,SO,1689988037
105,the pas,53.8251,-101.2541,19.01,82,99,2.57,CA,1689988038
106,tiksi,71.6872,128.8694,12.03,50,34,4.01,RU,1689988038
107,macapa,0.0389,-51.0664,26.99,89,40,2.57,BR,1689988038
